InstrID,CountryCode,Identifier,Name,Exchange,Sector,SPDRIndx,MktCapType,FS_AsOfDate,FS_BVPS,FS_EPS,FS_DivRate,FS_GrowthGrade,FS_GrowthGradeYOY,Ratio_PE,Ratio_Beta,Ratio_PEG,Ratio_PEGY,Ratio_Current,Ratio_Quick,Ratio_DebtToFCF,Ratio_ROIC,Eval_ValuePrice_M,Eval_IRT_M,Eval_GrahamNumber,MktPrice_Date,MktPrice_Close,MktPrice_Change,MktPrice_Volume,MktPrice_VolumeAvg,MktPrice_52Wk_Lo,MktPrice_52Wk_Hi,MA10,MA10_ChangePcnt,MA30,MA30_ChangePcnt,MA50,MA50_ChangePcnt,MA150,MA150_ChangePcnt,MA200,MA200_ChangePcnt,RSI,RSI_ChangePcnt,SlowStoch_K,SlowStoch_D,SlowStoch_ChangePcnt,MACD,MACD_ChangePcnt,Jan_07_MktPrice_Close,Jan_07_MktPrice_Volume,Jan_14_MktPrice_Close,Jan_14_MktPrice_Volume
227478,US,VOYA,"Voya Financial, Inc.",NYSE,Utilities,,Large,9/30/2015,60.3,8.09,0.04,68.8291,52.0342,4.5624,1.72,0.031,0.031,NULL,NULL,3.2616,0.1592,99.4488,3.4126,104.7669,12/31/2015,36.91,-0.36,970700,1688143,36.04,48.14,37.06,-0.0019,38.85,-0.0037,39.6,-0.0017,42.55,-0.0013,42.9,-0.0009,39.92,-0.1031,0.4872,0.4119,0.09411,0.1655,-0.1962,33.18,3090000,31.2,3011200
3278,US,VR,"Validus Holdings, Ltd.",NYSE,Financial,,Mid,9/30/2015,44.14,4.89,1.28,14.0577,27.8889,9.4663,0.64,0.7107,0.5883,NULL,NULL,3.621,0.1093,15.3451,8.0402,69.6886,12/31/2015,46.29,-0.56,293500,426967,39.65,47.94,46.46,-0.0002,46.69,0.0009,45.89,0.0008,45.13,0.0005,44.43,0.0005,44.35,-0.2198,0.7271,0.5843,0.001,0.0188,-0.7575,44.78,423400,44.96,645200
69728,US,VRA,"Vera Bradley, Inc.",NASDAQ,Consumer Goods,,Mid,10/31/2015,6.89,0.73,NULL,51.6442,35.5139,21.589,1.13,-1,-1,4.2459,2.5408,0,0.1425,9.78,11.1372,10.6381,12/31/2015,15.76,-0.33,594100,788063,9.69,20.33,15.95,-0.0038,13.97,0.0124,13.23,0.0043,12.26,0.0012,12.91,0.0001,56,-0.1612,0.4353,0.6439,-0.27007,-0.2054,-0.179,15.65,329500,13.88,401100
10654,US,VRNT,Verint Systems Inc.,NASDAQ,Technology,,Mid,10/31/2015,16.6,0.08,NULL,72.0278,39.0556,507,1.43,18.8266,18.8266,1.4861,1.2456,4.5049,0.036,3.4783,23.6492,5.4663,12/31/2015,40.56,-0.72,268000,672970,40.5,66.35,40.87,-0.0021,42.83,-0.005,44.61,-0.0022,51.41,-0.0031,54.36,-0.0019,38.3,-0.2284,0.6318,0.7312,-0.22506,0.3078,-0.2276,39.16,429800,38.29,318900
51362,US,VRSK,"Verisk Analytics, Inc.",NASDAQ,Services,,Large,9/30/2015,4.6,2.95,NULL,69.5,58.4722,26.061,0.67,1.5862,1.5862,0.4985,0.4283,6.6848,0.2557,244.0535,8.0506,17.4736,12/31/2015,76.88,-0.63,582400,1058857,62.9,81.28,76.76,-0.0025,75.75,0.0023,74.75,-0.0008,75.09,0.0004,74.5,0.0003,52.01,-0.1267,0.6653,0.6278,-0.02857,-0.056,-5.8054,73.04,1267600,72.35,1284700
180,US,VRSN,"VeriSign, Inc.",NASDAQ,Technology,XLK,Large,9/30/2015,-6.32,2.54,NULL,35.0491,31.8429,34.3937,1.11,0.5799,0.5799,0.7761,0.1068,2.1973,0.2632,24.3655,19.5737,NULL,12/31/2015,87.36,-0.78,493500,1195310,55.21,93.12,87.64,-0.003,89.24,0.0013,85.88,0.0027,73.88,0.0022,71.74,0.0016,40.04,-0.1514,0.3412,0.2841,0.01524,-0.2043,-0.0984,80.55,1687600,75.65,1149500
45927,US,VRTS,"Virtus Investment Partners, Inc.",NASDAQ,Financial,,Mid,9/30/2015,62.45,5.21,1.8,52.7853,28.8953,22.5451,2.11,1.7907,1.5967,5.9928,3.1439,-0.1498,0.1736,317.1273,7.1137,85.5611,12/31/2015,117.46,-0.99,52300,112977,99.58,166.14,120.02,-0.006,128.03,-0.0035,124.47,0.0017,119.79,-0.0004,122.48,-0.0009,27.5,-0.0898,0.1749,0.2421,-0.25728,-0.193,-0.6704,106.66,166900,94.08,112100
5601,US,VRTU,Virtusa Corporation,NASDAQ,Technology,,Mid,9/30/2015,14.04,1.5,NULL,89.2276,63.0962,27.56,1.4,1.2527,1.2527,5.6735,3.8532,0,0.0966,107.0514,8.9232,21.7681,12/31/2015,41.34,-0.52,264100,185830,38.79,57.55,41.91,-0.0074,45.69,-0.006,49.26,-0.0063,50.31,-0.0006,48.2,0,25.22,-0.1426,0.1607,0.1128,0.15395,0.1771,0.2172,39.8,137900,41.51,217600
231765,US,VRTV,Veritiv Corporation,NYSE,Basic Materials,,Mid,9/30/2015,35.5,0.16,NULL,23.4274,25.1923,226.375,NULL,0.61,0,2.3018,1.3824,-81.5833,-0.0195,7.6179,19.0247,11.3049,12/31/2015,36.22,-2.42,58500,38750,34.3,52.87,38.45,-0.0083,38.1,0,39.27,-0.0032,38.31,-0.0009,39.29,-0.0017,30.42,-0.4103,0.4856,0.7036,-0.29811,-0.1456,-2.3471,34.95,40700,33.67,74900
3279,US,VRX,"Valeant Pharmaceuticals International, Inc.",NYSE,Healthcare,,Large,9/30/2015,15.32,1.74,NULL,86.7981,34.9712,56.0345,0.01,2.2414,2.2414,1.5355,0.9491,16.544,0.0799,66.1579,14.4698,24.4904,12/31/2015,101.65,-0.68,5790500,11435007,72.6,248.4,107.83,-0.0154,98.06,0.0108,96.4,-0.0093,181.47,-0.005,189.5,-0.0027,43.73,-0.0274,0.3497,0.5516,-0.07363,-1.8107,-0.1415,97.39,6356500,89.77,4968900
